Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;532382;;575363;;715677;;861469;;868829;;874701;;972944;;1004974;;898068;;961557;;789386;;765105;
02  Friedrichshain-Kreuzberg;162620;;171769;;232322;;269249;;291807;;284815;;323565;;331859;;306650;;316421;;233663;;215830;
03  Pankow;70868;;79759;;99325;;110022;;113594;;116117;;130837;;130618;;121872;;125001;;84570;;82579;
04  Charlottenburg-Wilmersdorf;315065;;305167;;423900;;486955;;476865;;460621;;537987;;556901;;486951;;512830;;388992;;383542;
05  Spandau;25850;;24350;;33595;;37929;;41861;;45660;;47502;;52818;;46860;;44874;;35380;;27946;
06  Steglitz-Zehlendorf;26380;;29529;;40835;;42782;;50324;;53449;;49070;;54899;;51648;;49504;;36460;;30291;
07  Tempelhof-Schoeneberg;88119;;87423;;110815;;133789;;132028;;132761;;142708;;149460;;141455;;147614;;113393;;116427;
08  Neukoelln;31578;;39136;;43950;;51390;;57520;;56012;;59218;;80718;;61322;;64748;;49891;;46028;
09  Treptow-Koepenick;24511;;28679;;39575;;50846;;51981;;53682;;65777;;72500;;57975;;47313;;35409;;32061;
10 Marzahn-Hellersdorf;9473;;9483;;13656;;15255;;17726;;15220;;15559;;16815;;17699;;18149;;12241;;9739;
11 Lichtenberg;43601;;44429;;72396;;75863;;78714;;73745;;80842;;92438;;79265;;83766;;58875;;56666;
12 Reinickendorf;37142;;36526;;48424;;57112;;64114;;62155;;64008;;66408;;61100;;59117;;46702;;42207;
