Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;726314;;767972;;939677;;1041218;;1122780;;1093839;;1256264;;1233647;;1147172;;1193957;;970878;;992252;
02  Friedrichshain-Kreuzberg;210639;;238287;;301068;;331377;;348088;;342074;;394591;;369049;;370414;;380774;;289603;;269233;
03  Pankow;74722;;83579;;104940;;109283;;125216;;128199;;145518;;133060;;130553;;131067;;98894;;96887;
04  Charlottenburg-Wilmersdorf;375890;;383023;;488537;;529798;;577957;;553629;;654864;;633776;;577225;;602312;;473097;;485062;
05  Spandau;32296;;30072;;41477;;46661;;51571;;51473;;63173;;76298;;56028;;54060;;40144;;36570;
06  Steglitz-Zehlendorf;25764;;29437;;38319;;37363;;48898;;46808;;50354;;49989;;49747;;47320;;36964;;31208;
07  Tempelhof-Schoeneberg;108367;;106221;;137749;;146263;;157719;;157526;;172974;;178521;;163012;;167036;;138972;;142994;
08  Neukoelln;44384;;42718;;64063;;64534;;82091;;68366;;96645;;89103;;80614;;86140;;62831;;54070;
09  Treptow-Koepenick;29515;;29830;;43455;;48264;;64846;;60619;;76570;;77704;;69206;;65073;;44181;;34603;
10 Marzahn-Hellersdorf;13026;;11998;;16196;;18174;;21209;;22399;;24291;;22840;;23362;;22324;;16226;;14942;
11 Lichtenberg;57675;;60285;;85017;;91498;;101255;;98525;;110087;;103454;;102777;;99858;;77077;;77668;
12 Reinickendorf;35194;;35643;;47703;;47879;;59378;;57051;;62339;;60381;;57984;;56220;;43958;;37145;
