Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;660803;;689431;;832745;;980673;;1054394;;1013677;;1112365;;1187826;;1006854;;1114392;;899467;;937746;
02  Friedrichshain-Kreuzberg;200895;;223167;;285408;;338792;;351158;;342493;;380817;;390936;;347819;;358243;;278128;;262605;
03  Pankow;74368;;78705;;99643;;118222;;132695;;125990;;140417;;139892;;127682;;131284;;94937;;98556;
04  Charlottenburg-Wilmersdorf;348761;;352948;;457970;;544935;;565099;;542218;;581348;;629894;;532979;;576873;;460324;;462906;
05  Spandau;27333;;27866;;32471;;43086;;48507;;48046;;54607;;65591;;48575;;49380;;39984;;37456;
06  Steglitz-Zehlendorf;24596;;26658;;34170;;37107;;47723;;46365;;46511;;49353;;47149;;48167;;38612;;31237;
07  Tempelhof-Schoeneberg;106806;;100064;;132527;;151906;;162468;;156857;;164412;;172114;;163091;;172673;;138543;;131984;
08  Neukoelln;42967;;44359;;56587;;61133;;70943;;69321;;70710;;85261;;73118;;73672;;59452;;54469;
09  Treptow-Koepenick;30685;;28482;;41733;;49795;;64169;;65304;;67974;;75921;;60857;;55728;;42264;;35570;
10 Marzahn-Hellersdorf;12938;;12617;;16582;;18675;;21818;;23018;;22798;;23583;;20714;;19861;;14949;;13717;
11 Lichtenberg;51733;;55054;;84060;;95568;;95793;;95123;;98701;;104301;;95267;;100551;;74105;;73709;
12 Reinickendorf;33485;;35554;;45755;;52173;;63300;;62494;;60491;;73818;;64811;;61601;;45790;;40227;
