Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;212258;;233409;;282488;;330980;;354755;;347547;;351262;;354422;;376439;;386209;;341617;;308663;
02  Friedrichshain-Kreuzberg;68907;;75383;;93522;;108389;;112391;;115155;;110561;;107445;;113543;;119164;;95965;;88778;
03  Pankow;29124;;30463;;37148;;43366;;44901;;44352;;46352;;46409;;44262;;48024;;34646;;35102;
04  Charlottenburg-Wilmersdorf;124900;;118974;;152696;;183167;;203240;;193059;;196204;;198305;;209797;;209484;;167303;;162140;
05  Spandau;11574;;10133;;12773;;13874;;20716;;17434;;23210;;20321;;18010;;16168;;14502;;12801;
06  Steglitz-Zehlendorf;10054;;11715;;15072;;15812;;19477;;19477;;16659;;16786;;20351;;19401;;16294;;12618;
07  Tempelhof-Schoeneberg;39949;;37067;;45998;;52147;;57601;;54705;;51396;;51658;;58347;;59886;;50559;;48594;
08  Neukoelln;14952;;19929;;18861;;20767;;24564;;21697;;19738;;21378;;23435;;23946;;22754;;17197;
09  Treptow-Koepenick;12937;;13565;;18539;;21532;;24777;;26606;;23101;;24335;;24006;;21896;;17750;;15089;
10 Marzahn-Hellersdorf;3711;;3666;;5107;;5877;;7153;;6794;;5365;;5869;;6717;;6142;;4521;;4226;
11 Lichtenberg;19502;;18790;;27434;;30271;;34935;;33740;;33793;;33892;;32014;;34678;;27887;;25041;
12 Reinickendorf;15762;;15661;;18856;;22889;;25564;;26781;;25281;;24451;;27969;;26720;;20674;;19195;
