Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;200160;;207208;;271133;;256653;;298405;;308064;;292702;;295341;;312030;;318525;;277367;;241019;
02  Friedrichshain-Kreuzberg;59349;;61188;;87436;;85507;;99925;;102564;;102213;;103034;;109528;;115872;;91344;;75871;
03  Pankow;27835;;30969;;40841;;39825;;46731;;45274;;43963;;42773;;46559;;50166;;37758;;32972;
04  Charlottenburg-Wilmersdorf;110261;;114155;;158736;;169368;;185595;;187521;;185400;;185358;;191852;;213626;;156360;;145955;
05  Spandau;13891;;13862;;15478;;15451;;22049;;19123;;21216;;19057;;22470;;21595;;15864;;14830;
06  Steglitz-Zehlendorf;9268;;11508;;15227;;14270;;19893;;21015;;15920;;14980;;20490;;18447;;14942;;10734;
07  Tempelhof-Schoeneberg;35101;;34719;;45087;;44940;;53488;;55498;;51307;;50152;;63214;;61744;;51348;;44356;
08  Neukoelln;19782;;18839;;17277;;18455;;22327;;22467;;21318;;18075;;25146;;25194;;21659;;20658;
09  Treptow-Koepenick;13080;;12542;;19115;;20658;;26280;;28135;;24227;;24844;;26489;;23848;;17928;;14819;
10 Marzahn-Hellersdorf;3162;;3321;;5974;;6192;;7178;;7666;;6386;;6162;;7294;;6632;;4858;;4151;
11 Lichtenberg;20403;;19106;;32766;;31280;;34631;;31468;;33396;;35077;;36878;;36699;;27044;;21751;
12 Reinickendorf;15935;;16072;;21642;;20524;;25196;;26970;;23040;;22069;;26509;;24755;;20342;;20914;
