Bezirke;Jahr;Monat;(Gaeste);(Gaeste) - Anmerkungen;(Uebernachtungen);(Uebernachtungen) - Anmerkungen
;;August;225302;;629894;
;;September;214970;;532979;
;;Oktober;234099;;576873;
;;November;198958;;460324;
;;Dezember;191977;;462906;
;2010;Januar;110261;;257948;
;;Februar;114155;;259163;
;;Maerz;158736;;379835;
;;April;169368;;395276;
;;Mai;185595;;439700;
;;Juni;187521;;437101;
;;Juli;185400;;460973;
;;August;185358;;477052;
;;September;191852;;452200;
;;Oktober;213626;;485529;
;;November;156360;;334010;
;;Dezember;145955;;316660;
;2011;Januar;124900;;276594;
;;Februar;118974;;255197;
;;Maerz;152696;;353863;
;;April;183167;;446528;
;;Mai;203240;;452993;
;;Juni;193059;;445453;
;;Juli;196204;;484830;
;;August;198305;;503534;
;;September;209797;;471701;
;;Oktober;209484;;496782;
;;November;167303;;364542;
;;Dezember;162140;;364582;
;2012;Januar;142685;;315065;
;;Februar;136741;;305167;
;;Maerz;185855;;423900;
;;April;198092;;486955;
;;Mai;204358;;476865;
;;Juni;193957;;460621;
;;Juli;208793;;537987;
;;August;215331;;556901;
;;September;210257;;486951;
;;Oktober;215726;;512830;
;;November;177774;;388992;
;;Dezember;164679;;383542;
;2013;Januar;144536;;331848;
;;Februar;144814;;332092;
;;Maerz;195526;;478574;
;;April;206523;;487478;
;;Mai;224272;;538483;
;;Juni;219772;;503365;
;;Juli;219786;;552177;
;;August;245181;;618072;
;;September;216296;;519788;
;;Oktober;226258;;547344;
;;November;180178;;408643;
;;Dezember;175878;;420531;
;2015;Januar;156291;;375890;
;;Februar;160995;;383023;
;;Maerz;199507;;488537;
;;April;214023;;529798;
;;Mai;232668;;577957;
;;Juni;230115;;553629;
;;Juli;252288;;654864;
;;August;227461;;633776;
;;September;228081;;577225;
;;Oktober;238163;;602312;
;;November;204281;;473097;
;;Dezember;197440;;485062;
05  Spandau;2014;Januar;12781;;27333;
;;Februar;13408;;27866;
;;Maerz;15510;;32471;
;;April;18213;;43086;
;;Mai;21465;;48507;
;;Juni;21864;;48046;
;;Juli;22713;;54607;
;;August;24825;;65591;
;;September;21563;;48575;
;;Oktober;22114;;49380;
;;November;18312;;39984;
;;Dezember;17690;;37456;
;2010;Januar;13891;;25371;
;;Februar;13862;;22980;
;;Maerz;15478;;33291;
;;April;15451;;34722;
;;Mai;22049;;43875;
;;Juni;19123;;42058;
;;Juli;21216;;43979;
;;August;19057;;48995;
;;September;22470;;43247;
;;Oktober;21595;;39643;
;;November;15864;;32751;
;;Dezember;14830;;28135;
;2011;Januar;11574;;24130;
;;Februar;10133;;20705;
;;Maerz;12773;;28238;
;;April;13874;;32876;
;;Mai;20716;;37102;
;;Juni;17434;;36070;
;;Juli;23210;;46188;
;;August;20321;;44799;
;;September;18010;;40592;
;;Oktober;16168;;37634;
;;November;14502;;30168;
;;Dezember;12801;;25550;
;2012;Januar;12826;;25850;
;;Februar;13456;;24350;
;;Maerz;15189;;33595;
;;April;15830;;37929;
;;Mai;18788;;41861;
;;Juni;23094;;45660;
;;Juli;19285;;47502;
;;August;21592;;52818;
;;September;21372;;46860;
;;Oktober;20237;;44874;
;;November;17069;;35380;
;;Dezember;14814;;27946;
;2013;Januar;13331;;27071;
;;Februar;12314;;25760;
;;Maerz;16242;;36416;
;;April;17771;;39062;
;;Mai;22070;;52407;
;;Juni;22097;;47924;
;;Juli;23849;;56385;
;;August;27064;;64475;
;;September;21570;;47203;
;;Oktober;20352;;47252;
;;November;16873;;35229;
;;Dezember;16560;;35792;
;2015;Januar;14936;;32296;
;;Februar;13931;;30072;
;;Maerz;17826;;41477;
;;April;19446;;46661;
;;Mai;22204;;51571;
;;Juni;25660;;51473;
;;Juli;27315;;63173;
;;August;25411;;76298;
;;September;20046;;56028;
;;Oktober;24796;;54060;
;;November;20410;;40144;
;;Dezember;17534;;36570;
06  Steglitz-Zehlendorf;2014;Januar;10547;;24596;
