Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;612513;;644045;;879436;;889439;;972254;;937256;;1032332;;1124976;;948162;;1029467;;820396;;828307;
02  Friedrichshain-Kreuzberg;175779;;199097;;277929;;293925;;329585;;310497;;345710;;367376;;319976;;354400;;251991;;243019;
03  Pankow;65427;;72430;;105283;;108236;;112693;;113498;;128268;;133790;;116743;;126809;;88427;;90086;
04  Charlottenburg-Wilmersdorf;331848;;332092;;478574;;487478;;538483;;503365;;552177;;618072;;519788;;547344;;408643;;420531;
05  Spandau;27071;;25760;;36416;;39062;;52407;;47924;;56385;;64475;;47203;;47252;;35229;;35792;
06  Steglitz-Zehlendorf;24109;;27717;;34997;;37723;;44704;;43831;;45648;;50660;;45421;;46033;;32758;;28200;
07  Tempelhof-Schoeneberg;95493;;91924;;129590;;132478;;148380;;137403;;149472;;174558;;154096;;159409;;125483;;126725;
08  Neukoelln;42369;;38435;;53136;;55113;;65917;;65349;;66199;;86482;;68827;;67118;;51690;;52051;
09  Treptow-Koepenick;29417;;26838;;47226;;47778;;66273;;58956;;69558;;76468;;60190;;57240;;40112;;34404;
10 Marzahn-Hellersdorf;10923;;9424;;12910;;17004;;21448;;21914;;25502;;26221;;25441;;27227;;16261;;15126;
11 Lichtenberg;43756;;53659;;88935;;85774;;95954;;84085;;88164;;102399;;90581;;100857;;66722;;66304;
12 Reinickendorf;35412;;36120;;48512;;50214;;63204;;59397;;62753;;65252;;60557;;61123;;43989;;42072;
