Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;448923;;481949;;596931;;766111;;761469;;779272;;836419;;876841;;808633;;856857;;663397;;644784;
02  Friedrichshain-Kreuzberg;152417;;163924;;206528;;263806;;263561;;262172;;282230;;277223;;268669;;288233;;201745;;193917;
03  Pankow;69489;;76827;;90806;;114007;;111948;;112588;;121228;;120340;;111780;;121356;;80704;;81865;
04  Charlottenburg-Wilmersdorf;276594;;255197;;353863;;446528;;452993;;445453;;484830;;503534;;471701;;496782;;364542;;364582;
05  Spandau;24130;;20705;;28238;;32876;;37102;;36070;;46188;;44799;;40592;;37634;;30168;;25550;
06  Steglitz-Zehlendorf;22164;;24679;;36541;;38488;;43695;;47824;;44967;;44494;;50518;;47679;;33678;;27037;
07  Tempelhof-Schoeneberg;80758;;76365;;96196;;118001;;124543;;123955;;124532;;126707;;128884;;134349;;103476;;106439;
08  Neukoelln;33580;;36945;;39243;;46294;;54907;;53011;;51521;;53385;;54235;;54067;;45699;;36109;
09  Treptow-Koepenick;22470;;24004;;35512;;44366;;47485;;54277;;54372;;56310;;47827;;45701;;33396;;28711;
10 Marzahn-Hellersdorf;9350;;9601;;13229;;14490;;16958;;16235;;15422;;15648;;15696;;15520;;11236;;9681;
11 Lichtenberg;44186;;40586;;65086;;79603;;81058;;80630;;87063;;83381;;75828;;84660;;56821;;55425;
12 Reinickendorf;36179;;36157;;44823;;55432;;57316;;60929;;62831;;60097;;61062;;60003;;45854;;42398;
