Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;287386;;290997;;379161;;382156;;405476;;413098;;406440;;437362;;404357;;428406;;380833;;354953;
02  Friedrichshain-Kreuzberg;80045;;84928;;115411;;121958;;136413;;131748;;132457;;141968;;134066;;145038;;116044;;103061;
03  Pankow;26324;;29744;;40920;;43430;;42732;;43981;;46586;;48596;;45833;;49133;;37066;;36434;
04  Charlottenburg-Wilmersdorf;144536;;144814;;195526;;206523;;224272;;219772;;219786;;245181;;216296;;226258;;180178;;175878;
05  Spandau;13331;;12314;;16242;;17771;;22070;;22097;;23849;;27064;;21570;;20352;;16873;;16560;
06  Steglitz-Zehlendorf;10272;;11899;;14531;;16633;;19334;;18421;;16422;;18484;;19885;;18650;;15700;;12781;
07  Tempelhof-Schoeneberg;44033;;38686;;50818;;52775;;59279;;55529;;55006;;64392;;61003;;63644;;54038;;51743;
08  Neukoelln;20476;;17424;;24837;;26147;;29882;;28069;;25003;;32418;;28412;;29014;;25369;;24384;
09  Treptow-Koepenick;12859;;12530;;18969;;20400;;27904;;25042;;25916;;29920;;27130;;23015;;17580;;16605;
10 Marzahn-Hellersdorf;3992;;3438;;4831;;6673;;9068;;9058;;9790;;10454;;10016;;10528;;5735;;6026;
11 Lichtenberg;20464;;24305;;37120;;35786;;40750;;36232;;35835;;39433;;40953;;42255;;32130;;29094;
12 Reinickendorf;15821;;15960;;20984;;21784;;27510;;26042;;25235;;28533;;26501;;27269;;19598;;18827;
