Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;299595;;312261;;370253;;398522;;442168;;427050;;437081;;442861;;429210;;462636;;415750;;398745;
02  Friedrichshain-Kreuzberg;87510;;96803;;120001;;132420;;149428;;143243;;148063;;148597;;142956;;147171;;127132;;111656;
03  Pankow;29500;;31041;;38982;;43571;;52029;;48457;;48160;;49430;;48634;;48680;;38656;;38720;
04  Charlottenburg-Wilmersdorf;145805;;151919;;184252;;209438;;230239;;220187;;222449;;225302;;214970;;234099;;198958;;191977;
05  Spandau;12781;;13408;;15510;;18213;;21465;;21864;;22713;;24825;;21563;;22114;;18312;;17690;
06  Steglitz-Zehlendorf;10547;;12428;;14631;;15386;;20456;;19887;;17594;;17364;;20237;;20162;;18340;;13637;
07  Tempelhof-Schoeneberg;45065;;43383;;54868;;58802;;66110;;64970;;63241;;62791;;68934;;69489;;59396;;55472;
08  Neukoelln;19951;;20701;;25084;;24909;;34460;;30001;;28593;;31026;;31846;;31500;;27734;;25488;
09  Treptow-Koepenick;12445;;12978;;19558;;20632;;27164;;29050;;26952;;28470;;26875;;23999;;19108;;16700;
10 Marzahn-Hellersdorf;4353;;4260;;6488;;7877;;9547;;8633;;7735;;8821;;8240;;7666;;5661;;5730;
11 Lichtenberg;23173;;25014;;36524;;37229;;39853;;40244;;39998;;39527;;43143;;41508;;35156;;32597;
12 Reinickendorf;14206;;15817;;19767;;22382;;27441;;27933;;26608;;28192;;28097;;27730;;20819;;17918;
