Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;261639;;277951;;350574;;369603;;392946;;398809;;399827;;401817;;400850;;430052;;392276;;346136;
02  Friedrichshain-Kreuzberg;73857;;76961;;105529;;114207;;126981;;123315;;131996;;132541;;128182;;132372;;111379;;95668;
03  Pankow;29341;;32838;;41219;;43893;;45940;;46754;;49572;;47996;;47497;;48070;;36008;;33483;
04  Charlottenburg-Wilmersdorf;142685;;136741;;185855;;198092;;204358;;193957;;208793;;215331;;210257;;215726;;177774;;164679;
05  Spandau;12826;;13456;;15189;;15830;;18788;;23094;;19285;;21592;;21372;;20237;;17069;;14814;
06  Steglitz-Zehlendorf;11281;;13303;;17095;;17212;;21171;;21039;;17322;;19863;;21651;;20360;;16680;;13501;
07  Tempelhof-Schoeneberg;42018;;41193;;50668;;55857;;57717;;57215;;58179;;59720;;60613;;62933;;53875;;50338;
08  Neukoelln;15575;;18721;;21976;;23324;;25833;;23333;;22242;;31230;;26797;;29139;;26073;;23459;
09  Treptow-Koepenick;12683;;13813;;19033;;21375;;22357;;22545;;24394;;26711;;24898;;22158;;16221;;15198;
10 Marzahn-Hellersdorf;3692;;3626;;5300;;6142;;7202;;6258;;5687;;6664;;7220;;7177;;4631;;4102;
11 Lichtenberg;21364;;20735;;31020;;32185;;36231;;31530;;34673;;37199;;35694;;36267;;27604;;24840;
12 Reinickendorf;16129;;16826;;21514;;23640;;27924;;25760;;26207;;27136;;25994;;25431;;20777;;18645;
